Sporadic-1	44336	-0.44	1.11	1.49	7.78	-22	-9	82	276	-116	234	100024.67	4.39	1	1	1	1
Sporadic-1	45366	-0.27	1.12	1.50	7.78	-22	-10	81	272	-118	234	100022.57	4.41	1	1	1	1
Sporadic-1	46393	-0.42	1.12	1.49	7.77	-22	-12	81	277	-121	231	100024.42	4.45	1	1	1	1
Sporadic-1	47421	-0.41	1.12	1.50	7.78	-23	-12	82	274	-118	234	100024.26	4.48	1	1	1	1
Sporadic-1	48448	-0.38	1.12	1.49	7.77	-24	-15	82	278	-118	236	100023.85	4.51	1	1	1	1
Sporadic-1	49476	-0.42	1.12	1.49	7.78	-23	-12	82	272	-114	236	100024.38	4.55	1	1	1	1
Sporadic-1	50503	-0.66	1.11	1.49	7.77	-22	-12	81	279	-119	235	100027.25	4.58	1	1	1	1
Sporadic-1	51534	-0.74	1.11	1.50	7.78	-23	-10	82	275	-121	229	100028.21	4.61	1	1	1	1
Sporadic-1	52561	-0.75	1.11	1.49	7.79	-20	-7	82	281	-117	229	100028.30	4.64	1	1	1	1
Sporadic-1	53590	-0.32	1.10	1.49	7.79	-23	-19	84	271	-115	231	100023.18	4.67	1	1	1	1
Sporadic-1	54617	-0.69	1.11	1.50	7.77	-22	-10	82	282	-122	232	100027.64	4.70	1	1	1	1
Sporadic-1	55649	-0.45	1.11	1.49	7.77	-23	-12	81	272	-124	232	100024.78	4.74	1	1	1	1
Sporadic-1	56685	-0.41	1.11	1.50	7.78	-23	-11	84	270	-116	234	100024.27	4.76	1	1	1	1
Sporadic-1	57725	-0.49	1.11	1.49	7.78	-22	-13	82	277	-119	229	100025.17	4.80	1	1	1	1
Sporadic-1	58753	-0.44	1.11	1.50	7.78	-24	-12	83	276	-118	232	100024.63	4.82	1	1	1	1
Sporadic-1	59781	-0.33	1.10	1.49	7.78	-23	-14	82	277	-117	235	100023.32	4.85	1	1	1	1
Sporadic-1	60808	-0.61	1.11	1.49	7.79	-22	-11	83	277	-119	231	100026.67	4.88	1	1	1	1
Sporadic-1	61836	-0.85	1.11	1.49	7.78	-23	-14	82	277	-121	225	100029.44	4.91	1	1	1	1
Sporadic-1	62863	-0.78	1.10	1.49	7.77	-22	-12	83	277	-119	241	100028.67	4.94	1	1	1	1
Sporadic-1	63894	-0.53	1.10	1.49	7.78	-23	-12	84	273	-115	233	100025.66	4.97	1	1	1	1
Sporadic-1	64921	-0.32	1.10	1.49	7.77	-22	-12	82	276	-116	240	100023.27	5.00	1	1	1	1
Sporadic-1	413	-0.52	1.10	1.49	7.78	-22	-12	82	278	-118	230	100025.61	5.02	1	1	1	1
Sporadic-1	1440	0.10	1.10	1.49	7.77	-23	-12	83	278	-124	228	100018.21	5.05	1	1	1	1
Sporadic-1	2467	-0.45	1.10	1.50	7.79	-24	-12	84	270	-128	234	100024.68	5.09	1	1	1	1
Sporadic-1	3495	-0.62	1.10	1.49	7.78	-23	-12	81	270	-124	230	100026.71	5.12	1	1	1	1
Sporadic-1	4526	-0.48	1.10	1.49	7.78	-23	-6	84	277	-119	231	100025.14	5.14	1	1	1	1
Sporadic-1	5554	-0.69	1.09	1.49	7.78	-22	-12	83	271	-115	237	100027.60	5.17	1	1	1	1
Sporadic-1	6581	-0.43	1.10	1.49	7.78	-24	-15	83	271	-123	223	100024.55	5.20	1	1	1	1
Sporadic-1	7608	-0.57	1.09	1.49	7.77	-25	-16	83	276	-124	230	100026.16	5.22	1	1	1	1
